Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Salili, S.M., Ribeiro de Almeida, R.R., Challa, P.K., Sprunt, S.N., Gleeson, J.T., Jákli, A.","Spontaneously modulated chiral nematic structures of flexible bent-core liquid crystal dimers",2017,"Liquid Crystals","44","1",,"160","167",,,10.1080/02678292.2016.1225836,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986218331&doi=10.1080%2f02678292.2016.1225836&partnerID=40&md5=21c4d3f3104b08938a04630abe433f79",Article,Scopus,2-s2.0-84986218331
"Salamonczyk, M., Zhang, J., Portale, G., Zhu, C., Kentzinger, E., Gleeson, J.T., Jakli, A., De Michele, C., Dhont, J.K.G., Sprunt, S., Stiakakis, E.","Smectic phase in suspensions of gapped DNA duplexes",2016,"Nature Communications","7",, 13358,"","",,,10.1038/ncomms13358,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995468813&doi=10.1038%2fncomms13358&partnerID=40&md5=4ae13628b294cc6c8c13eecec4bf2514",Article,Scopus,2-s2.0-84995468813
"Salili, S.M., Xiang, J., Wang, H., Li, Q., Paterson, D.A., Storey, J.M.D., Imrie, C.T., Lavrentovich, O.D., Sprunt, S.N., Gleeson, J.T., Jákli, A.","Magnetically tunable selective reflection of light by heliconical cholesterics",2016,"Physical Review E","94","4", 042705,"","",,1,10.1103/PhysRevE.94.042705,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994031862&doi=10.1103%2fPhysRevE.94.042705&partnerID=40&md5=6ab046c9a689667d880a1862589c74f7",Article,Scopus,2-s2.0-84994031862
"Salili, S.M., Tamba, M.G., Sprunt, S.N., Welch, C., Mehl, G.H., Jákli, A., Gleeson, J.T.","Anomalous Increase in Nematic-Isotropic Transition Temperature in Dimer Molecules Induced by a Magnetic Field",2016,"Physical Review Letters","116","21", 217801,"","",,9,10.1103/PhysRevLett.116.217801,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971254817&doi=10.1103%2fPhysRevLett.116.217801&partnerID=40&md5=66270101b07215b50ca718b6d05d237a",Article,Scopus,2-s2.0-84971254817
"Parsouzi, Z., Shamid, S.M., Borshch, V., Challa, P.K., Baldwin, A.R., Tamba, M.G., Welch, C., Mehl, G.H., Gleeson, J.T., Jakli, A., Lavrentovich, O.D., Allender, D.W., Selinger, J.V., Sprunt, S.","Fluctuation modes of a twist-bend nematic liquid crystal",2016,"Physical Review X","6","2", 021041,"","",,4,10.1103/PhysRevX.6.021041,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984865291&doi=10.1103%2fPhysRevX.6.021041&partnerID=40&md5=5adbd9b9a6935214162abcac581c3c8e",Article,Scopus,2-s2.0-84984865291
"Parsouzi, Z., Pardaev, S.A., Welch, C., Ahmed, Z., Mehl, G.H., Baldwin, A.R., Gleeson, J.T., Lavrentovich, O.D., Allender, D.W., Selinger, J.V., Jakli, A., Sprunt, S.","Light scattering study of the ""pseudo-layer"" compression elastic constant in a twist-bend nematic liquid crystal",2016,"Physical Chemistry Chemical Physics","18","46",,"31645","31652",,,10.1039/c6cp06292j,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019575791&doi=10.1039%2fc6cp06292j&partnerID=40&md5=56bf5c22ee02d616b3d6a8971a6f1b8a",Article,Scopus,2-s2.0-85019575791
"Pardaev, S.A., Shamid, S.M., Tamba, M.G., Welch, C., Mehl, G.H., Gleeson, J.T., Allender, D.W., Selinger, J.V., Ellman, B., Jakli, A., Sprunt, S.","Second harmonic light scattering induced by defects in the twist-bend nematic phase of liquid crystal dimers",2016,"Soft Matter","12","19",,"4472","4482",,7,10.1039/c6sm00585c,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969944508&doi=10.1039%2fc6sm00585c&partnerID=40&md5=db44f67e26d5b08bbae7db6adf4bb656",Review,Scopus,2-s2.0-84969944508
"Sebastián, N., Tamba, M.G., Stannarius, R., De La Fuente, M.R., Salamonczyk, M., Cukrov, G., Gleeson, J., Sprunt, S., Jákli, A., Welch, C., Ahmed, Z., Mehl, G.H., Eremin, A.","Mesophase structure and behaviour in bulk and restricted geometry of a dimeric compound exhibiting a nematic-nematic transition",2016,"Physical Chemistry Chemical Physics","18","28",,"19299","19308",,2,10.1039/c6cp03899a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978764259&doi=10.1039%2fc6cp03899a&partnerID=40&md5=3631385309cfa96e698dd6a9f6193775",Article,Scopus,2-s2.0-84978764259
"Trišović, N., Antanasijević, J., Tóth-Katona, T., Kohout, M., Salamonczyk, M., Sprunt, S., Jákli, A., Fodor-Csorba, K.","Azo-containing asymmetric bent-core liquid crystals with modulated smectic phases",2015,"RSC Advances","5","80",,"64886","64891",,7,10.1039/c5ra09764a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938709513&doi=10.1039%2fc5ra09764a&partnerID=40&md5=a30303669de529238a4b7472245bb08d",Article,Scopus,2-s2.0-84938709513
"Pardaev, S.A., Williams, J.C., Twieg, R.J., Jakli, A., Gleeson, J.T., Ellman, B., Sprunt, S.","Polar structure of disclination loops in nematic liquid crystals probed by second-harmonic-light scattering",2015,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","91","3", 032501,"","",,2,10.1103/PhysRevE.91.032501,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924803699&doi=10.1103%2fPhysRevE.91.032501&partnerID=40&md5=186c27e82f7a3ce5c36e646bfc2da734",Article,Scopus,2-s2.0-84924803699
"Zhou, S., Neupane, K., Nastishin, Y.A., Baldwin, A.R., Shiyanovskii, S.V., Lavrentovich, O.D., Sprunt, S.","Elasticity, viscosity, and orientational fluctuations of a lyotropic chromonic nematic liquid crystal disodium cromoglycate",2014,"Soft Matter","10","34",,"6571","6581",,28,10.1039/c4sm00772g,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905842084&doi=10.1039%2fc4sm00772g&partnerID=40&md5=53c6d526c6c0721bc49d678e34334dd2",Article,Scopus,2-s2.0-84905842084
"Challa, P.K., Borshch, V., Parri, O., Imrie, C.T., Sprunt, S.N., Gleeson, J.T., Lavrentovich, O.D., Jákli, A.","Twist-bend nematic liquid crystals in high magnetic fields",2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","89","6", 060501,"","",,37,10.1103/PhysRevE.89.060501,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902457100&doi=10.1103%2fPhysRevE.89.060501&partnerID=40&md5=4f4f08950c7c69a6e7db4aa91cf16e79",Article,Scopus,2-s2.0-84902457100
"Breckon, R., Chakraborty, S., Zhang, C., Diorio, N., Gleeson, J.T., Sprunt, S., Twieg, R.J., Jákli, A.","Nanostructures of nematic materials of laterally branched molecules",2014,"ChemPhysChem","15","7",,"1457","1462",,4,10.1002/cphc.201300578,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900505708&doi=10.1002%2fcphc.201300578&partnerID=40&md5=2fdc8d87bfff2d011e7bf72e8ffc4f72",Article,Scopus,2-s2.0-84900505708
"Challa, P.K., Sprunt, S.N., Jákli, A., Gleeson, J.T.","Magnetic-field-induced suppression of the amorphous blue phase",2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","89","1", 010501,"","",,1,10.1103/PhysRevE.89.010501,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894575042&doi=10.1103%2fPhysRevE.89.010501&partnerID=40&md5=3add8c1474b7a916cbfc391b4aa57a5a",Article,Scopus,2-s2.0-84894575042
"Ribeiro de Almeida, R.R., Zhang, C., Parri, O., Sprunt, S.N., Jákli, A.","Nanostructure and dielectric properties of a twist-bend nematic liquid crystal mixture",2014,"Liquid Crystals","41","11",,"1661","1667",,14,10.1080/02678292.2014.947346,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908893543&doi=10.1080%2f02678292.2014.947346&partnerID=40&md5=f5c6bbd0c39ef5bd9f2f47445b9579da",Article,Scopus,2-s2.0-84908893543
"Salili, S.M., Kim, C., Sprunt, S., Gleeson, J.T., Parri, O., Jákli, A.","Flow properties of a twist-bend nematic liquid crystal",2014,"RSC Advances","4","101",,"57419","57423",,23,10.1039/c4ra10008e,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909967206&doi=10.1039%2fc4ra10008e&partnerID=40&md5=a790d263a658a08205032633007a307a",Article,Scopus,2-s2.0-84909967206
"Challa, P.K., Chakraborty, S., Breckon, R., Zhang, C., Pardaev, S., Twieg, R.W., Jákli, A., Sprunt, S.N., Gleeson, J.T.","Viscoelastic properties of a branched liquid crystal in the nematic phase",2014,"Liquid Crystals","41","6",,"747","754",,,10.1080/02678292.2014.889235,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897382495&doi=10.1080%2f02678292.2014.889235&partnerID=40&md5=9afa0add80f7b47b0b97b47965c16106",Article,Scopus,2-s2.0-84897382495
"Kim, Y.-K., Breckon, R., Chakraborty, S., Gao, M., Sprunt, S.N., Gleeson, J.T., Twieg, R.J., Jákli, A., Lavrentovich, O.D.","Properties of the broad-range nematic phase of a laterally linked H-shaped liquid crystal dimer",2014,"Liquid Crystals","41","9",,"1345","1355",,9,10.1080/02678292.2014.920930,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904036965&doi=10.1080%2f02678292.2014.920930&partnerID=40&md5=d31ec535bd595c785690ca418c6c3164",Article,Scopus,2-s2.0-84904036965
"Ostapenko, T., Nastishin, Y.A., Collings, P.J., Sprunt, S.N., Lavrentovich, O.D., Gleeson, J.T.","Aggregation, pretransitional behavior, and optical properties in the isotropic phase of lyotropic chromonic liquid crystals studied in high magnetic fields",2013,"Soft Matter","9","39",,"9487","9498",,4,10.1039/c3sm51819a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884363876&doi=10.1039%2fc3sm51819a&partnerID=40&md5=e4286c5e16924b69678d006d1b1e3671",Article,Scopus,2-s2.0-84884363876
"Chakraborty, S., Gleeson, J.T., Jakli, A., Sprunt, S.","A comparison of short-range molecular order in bent-core and rod-like nematic liquid crystals",2013,"Soft Matter","9","6",,"1817","1824",,20,10.1039/c2sm27177j,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872566242&doi=10.1039%2fc2sm27177j&partnerID=40&md5=46ad183cab46db2dac8e04108bbce6d7",Article,Scopus,2-s2.0-84872566242
"Kim, Y.-K., Majumdar, M., Senyuk, B.I., Tortora, L., Seltmann, J., Lehmann, M., Jákli, A., Gleeson, J.T., Lavrentovich, O.D., Sprunt, S.","Search for biaxiality in a shape-persistent bent-core nematic liquid crystal",2012,"Soft Matter","8","34",,"8880","8890",,35,10.1039/c2sm26278a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865174611&doi=10.1039%2fc2sm26278a&partnerID=40&md5=9352d6540cec50dc97a569accb8d1b71",Article,Scopus,2-s2.0-84865174611
"Zhang, C., Gao, M., Diorio, N., Weissflog, W., Baumeister, U., Sprunt, S., Gleeson, J.T., Jákli, A.","Direct observation of smectic layers in thermotropic liquid crystals",2012,"Physical Review Letters","109","10", 107802,"","",,32,10.1103/PhysRevLett.109.107802,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866096601&doi=10.1103%2fPhysRevLett.109.107802&partnerID=40&md5=afcfb7357ca7003a402cd54711cb776f",Article,Scopus,2-s2.0-84866096601
"Zhang, C., Diorio, N., Radhika, S., Sadashiva, B.K., Sprunt, S.N., Jákli, A.","Two distinct modulated layer structures of an asymmetric bent-shape smectic liquid crystal",2012,"Liquid Crystals","39","9",,"1149","1157",,11,10.1080/02678292.2012.704410,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864627110&doi=10.1080%2f02678292.2012.704410&partnerID=40&md5=b80d5df6d697921eff65e555eab7c612",Article,Scopus,2-s2.0-84864627110
"Zhang, C., Chakraborty, S., Ostapenko, T., Sprunt, S., Jákli, A., Gleeson, J.T.","Biaxial nematic order induced by smectic fluctuations",2012,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","86","2", 020704,"","",,5,10.1103/PhysRevE.86.020704,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865598493&doi=10.1103%2fPhysRevE.86.020704&partnerID=40&md5=64f5c5c6e4bad462b7f8498c6bb0a3c9",Article,Scopus,2-s2.0-84865598493
"Challa, P.K., Curtiss, O., Williams, J.C., Twieg, R., Toth, J., McGill, S., Jákli, A., Gleeson, J.T., Sprunt, S.N.","Light scattering from liquid crystal director fluctuations in steady magnetic fields up to 25 tesla",2012,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","86","1", 011708,"","",,5,10.1103/PhysRevE.86.011708,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864435042&doi=10.1103%2fPhysRevE.86.011708&partnerID=40&md5=aa5b60d0538c55870de072e82383bc64",Article,Scopus,2-s2.0-84864435042
"Zhou, S., Nastishin, Y.A., Omelchenko, M.M., Tortora, L., Nazarenko, V.G., Boiko, O.P., Ostapenko, T., Hu, T., Almasan, C.C., Sprunt, S.N., Gleeson, J.T., Lavrentovich, O.D.","Elasticity of lyotropic chromonic liquid crystals probed by director reorientation in a magnetic field",2012,"Physical Review Letters","109","3", 037801,"","",,48,10.1103/PhysRevLett.109.037801,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863938139&doi=10.1103%2fPhysRevLett.109.037801&partnerID=40&md5=a67f683eef70fb3ef60133c695064aaa",Article,Scopus,2-s2.0-84863938139
"Salamon, P., Iber, N., Seltmann, J., Lehmann, M., Gleeson, J.T., Sprunt, S., Jákli, A.","Dielectric technique to measure the twist elastic constant of liquid crystals: The case of a bent-core material",2012,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","85","6", 061704,"","",,13,10.1103/PhysRevE.85.061704,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862880761&doi=10.1103%2fPhysRevE.85.061704&partnerID=40&md5=4d50a942cb229318e96ee81ee5c50093",Article,Scopus,2-s2.0-84862880761
